runnumber,scaledown00,scaledown01,scaledown02,scaledown03,scaledown04,scaledown05,scaledown06,scaledown07,scaledown08,scaledown09,scaledown10,scaledown11,scaledown12,scaledown13,scaledown14,scaledown15,scaledown16,scaledown17,scaledown18,scaledown19,scaledown20,scaledown21,scaledown22,scaledown23,scaledown24,scaledown25,scaledown26,scaledown27,scaledown28,scaledown29,scaledown30,scaledown31,scaledown32,scaledown33,scaledown34,scaledown35,scaledown36,scaledown37,scaledown38,scaledown39,scaledown40,scaledown41,scaledown42,scaledown43,scaledown44,scaledown45,scaledown46,scaledown47,scaledown48,scaledown49,scaledown50,scaledown51,scaledown52,scaledown53,scaledown54,scaledown55,scaledown56,scaledown57,scaledown58,scaledown59,scaledown60,scaledown61,scaledown62,scaledown63
51742,938315,-1,-1,88,-1,-1,-1,-1,-1,-1,6286,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51768,938315,-1,-1,138,-1,-1,-1,-1,-1,-1,7025,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51777,938315,-1,-1,167,-1,-1,-1,-1,-1,-1,9688,-1,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51824,938315,-1,-1,205,-1,-1,-1,-1,-1,-1,10263,-1,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51827,938315,-1,-1,102,-1,-1,-1,-1,-1,-1,7311,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51830,938315,-1,-1,80,-1,-1,-1,-1,-1,-1,5942,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51837,938315,-1,-1,175,-1,-1,-1,-1,-1,-1,10157,-1,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51839,938315,-1,-1,122,-1,-1,-1,-1,-1,-1,8111,-1,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51841,938315,-1,-1,107,-1,-1,-1,-1,-1,-1,7263,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51843,938315,-1,-1,102,-1,-1,-1,-1,-1,-1,7015,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
